order_id,customer_id,product_id,quantity,discount_pct,order_date,location_id,revenue,cost,profit
1,240,41,1,0.2,2022-04-07 23:30:43,1,267.07,147.92,119.15
2,74,4,3,0.32,2020-02-14 23:56:08,5,325.62,271.2,54.42
3,95,59,5,0.27,2020-09-02 23:59:05,4,231.45,239.9,-8.45
4,156,40,4,0.11,2021-11-26 19:46:19,6,1399.19,1112.2,286.99
5,252,37,5,0.38,2021-08-07 00:52:33,4,466.02,385.2,80.82
6,116,43,1,0.28,2023-06-26 09:52:04,5,293.72,200.74,92.98
7,149,18,3,0.4,2023-02-21 12:16:38,5,515.75,509.67,6.08
8,13,48,4,0.39,2020-08-20 02:18:50,1,570.06,675.92,-105.86
9,35,60,4,0.37,2022-05-13 13:43:41,1,1212.47,1346.12,-133.65
10,17,28,5,0.3,2021-10-25 10:25:22,5,544.11,472.8,71.31
11,22,11,3,0.24,2020-05-27 16:03:29,2,237.01,146.01,91.0
12,261,31,4,0.07,2022-08-30 05:35:56,2,413.74,325.0,88.74
13,253,16,3,0.22,2022-02-23 07:02:16,5,916.02,480.45,435.57
14,247,30,5,0.31,2020-05-07 16:31:13,2,763.07,451.9,311.17
15,17,51,1,0.21,2021-11-14 09:42:42,1,63.51,41.51,22.0
16,24,10,2,0.35,2022-12-04 05:37:54,1,96.43,94.22,2.21
17,85,60,1,0.04,2021-04-22 14:00:48,3,461.89,336.53,125.36
18,170,18,4,0.15,2021-06-05 01:26:30,4,974.2,679.56,294.64
19,101,72,2,0.2,2020-06-09 20:01:38,5,168.27,104.42,63.85
20,147,59,2,0.17,2020-10-25 08:01:03,6,105.26,95.96,9.3
21,52,22,5,0.04,2022-06-25 08:48:05,4,1143.31,710.15,433.16
22,220,46,2,0.06,2020-09-14 00:33:28,5,93.19,54.36,38.83
23,95,9,1,0.34,2021-12-05 19:37:10,2,226.27,151.32,74.95
24,20,8,1,0.19,2020-10-08 09:42:39,3,119.65,67.63,52.02
25,223,77,2,0.02,2021-10-08 09:37:41,2,745.72,486.82,258.9
26,271,65,5,0.01,2020-07-31 13:13:03,1,1932.88,1383.85,549.03
27,5,13,3,0.19,2022-06-22 10:48:50,6,958.71,748.53,210.18
28,132,23,5,0.07,2022-04-12 11:33:50,2,1324.27,1103.75,220.52
29,249,16,2,0.28,2022-07-13 19:33:00,3,563.7,320.3,243.4
30,212,32,2,0.32,2021-10-09 18:10:54,3,281.82,314.34,-32.52
31,257,24,1,0.09,2021-02-21 12:38:30,1,349.14,241.21,107.93
32,125,27,2,0.24,2020-12-30 08:29:01,6,428.35,300.2,128.15
33,112,43,3,0.06,2020-11-10 02:41:15,2,1150.39,602.22,548.17
34,213,16,5,0.12,2021-09-18 22:59:43,1,1722.42,800.75,921.67
35,47,71,2,0.36,2021-10-21 03:12:44,3,295.18,357.32,-62.14
36,72,59,4,0.22,2022-09-10 08:12:20,1,197.84,191.92,5.92
37,181,61,4,0.35,2020-03-17 13:18:27,6,1182.35,1375.76,-193.41
38,201,14,2,0.09,2021-02-15 06:47:11,2,608.06,360.0,248.06
39,36,57,5,0.13,2023-05-29 19:58:09,2,800.84,528.4,272.44
40,153,67,3,0.19,2023-08-29 06:12:43,2,552.65,374.88,177.77
41,110,15,1,0.19,2023-09-21 02:56:40,1,286.79,225.31,61.48
42,151,61,5,0.4,2021-03-23 06:22:19,1,1364.25,1719.7,-355.45
43,288,29,5,0.05,2020-07-19 05:04:02,4,96.19,58.3,37.89
44,23,64,1,0.34,2020-10-16 08:11:35,2,319.93,255.15,64.78
45,299,39,5,0.35,2020-07-11 12:52:50,1,912.37,969.65,-57.28
46,135,65,5,0.22,2023-10-25 16:03:26,2,1522.87,1383.85,139.02
47,232,12,5,0.14,2023-07-13 17:53:52,2,37.15,33.25,3.9
48,128,32,2,0.21,2023-03-29 10:02:37,3,327.41,314.34,13.07
49,94,22,4,0.12,2022-12-01 12:15:13,6,838.43,568.12,270.31
50,232,20,3,0.32,2021-05-15 23:32:32,2,125.85,80.16,45.69
51,207,25,4,0.2,2021-11-25 12:06:13,5,1021.41,752.52,268.89
52,44,31,4,0.37,2023-05-13 11:46:19,5,280.27,325.0,-44.73
53,212,11,4,0.25,2023-04-03 23:25:46,1,311.85,194.68,117.17
54,226,57,3,0.21,2022-01-27 11:15:04,4,436.32,317.04,119.28
55,117,45,4,0.28,2023-05-07 20:09:47,3,46.77,40.4,6.37
56,278,67,3,0.2,2021-05-21 06:12:27,4,545.83,374.88,170.95
57,193,57,1,0.36,2021-08-26 17:05:45,2,117.82,105.68,12.14
58,101,12,1,0.07,2023-05-10 19:59:24,3,8.04,6.65,1.39
59,4,6,5,0.39,2021-07-03 13:55:28,1,1230.25,1205.25,25.0
60,203,34,5,0.32,2023-01-03 03:51:50,6,410.72,375.45,35.27
61,63,39,3,0.34,2021-10-23 19:07:51,4,555.85,581.79,-25.94
62,227,20,1,0.19,2021-03-10 21:32:04,1,49.97,26.72,23.25
63,158,63,4,0.33,2020-11-15 11:57:29,4,366.11,332.0,34.11
64,141,47,1,0.12,2022-06-04 18:00:54,6,319.06,265.37,53.69
65,50,60,2,0.3,2021-12-01 07:16:11,5,673.6,673.06,0.54
66,214,9,2,0.06,2021-06-23 07:26:00,2,644.54,302.64,341.9
67,50,66,1,0.12,2022-12-21 00:12:27,6,316.68,239.19,77.49
68,126,17,5,0.18,2020-01-02 12:51:40,2,951.86,909.4,42.46
69,251,36,3,0.13,2020-05-14 14:27:31,2,376.6,289.56,87.04
70,277,36,2,0.15,2023-11-05 06:01:24,1,245.29,193.04,52.25
71,297,66,3,0.33,2022-08-26 18:05:14,6,723.32,717.57,5.75
72,288,23,1,0.1,2022-03-13 11:00:10,5,256.31,220.75,35.56
73,167,20,3,0.3,2020-01-22 12:17:05,4,129.55,80.16,49.39
74,61,28,3,0.03,2022-05-23 17:04:42,5,452.39,283.68,168.71
75,252,29,2,0.31,2021-09-26 19:15:52,2,27.94,23.32,4.62
76,241,15,5,0.32,2022-05-25 20:11:43,1,1203.8,1126.55,77.25
77,298,15,2,0.16,2020-02-29 20:39:20,6,594.82,450.62,144.2
78,196,19,1,0.29,2022-03-14 22:28:36,6,52.68,52.91,-0.23
79,43,38,3,0.37,2022-04-23 16:31:01,1,628.71,662.4,-33.69
80,151,28,5,0.32,2021-02-27 11:16:35,1,528.56,472.8,55.76
81,135,32,2,0.16,2020-03-20 14:07:09,4,348.13,314.34,33.79
82,253,58,1,0.19,2023-11-19 12:01:38,1,39.2,38.56,0.64
83,118,20,5,0.31,2022-11-01 16:53:48,5,212.83,133.6,79.23
84,99,73,3,0.12,2022-06-26 15:15:40,6,413.03,210.78,202.25
85,25,61,1,0.32,2023-01-24 22:48:30,2,309.23,343.94,-34.71
86,251,14,4,0.13,2022-09-06 13:05:04,2,1162.67,720.0,442.67
87,227,26,2,0.32,2020-07-15 05:09:36,6,379.47,282.8,96.67
88,13,15,5,0.03,2021-10-25 23:56:17,3,1717.19,1126.55,590.64
89,131,22,2,0.02,2023-07-21 10:59:22,2,466.85,284.06,182.79
90,144,30,3,0.4,2021-02-24 06:39:48,1,398.12,271.14,126.98
91,141,11,3,0.35,2023-11-20 10:11:23,6,202.7,146.01,56.69
92,276,2,2,0.35,2020-04-03 22:47:17,6,542.33,550.62,-8.29
93,46,36,3,0.38,2021-04-27 20:32:10,1,268.38,289.56,-21.18
94,92,57,1,0.18,2021-05-26 08:03:57,5,150.96,105.68,45.28
95,55,25,4,0.11,2022-06-20 10:18:42,1,1136.32,752.52,383.8
96,74,69,4,0.05,2020-09-14 02:27:14,1,200.3,147.32,52.98
97,273,30,5,0.2,2020-11-30 13:05:39,3,884.72,451.9,432.82
98,283,73,2,0.09,2022-08-24 15:34:22,3,284.74,140.52,144.22
99,14,19,2,0.37,2021-02-19 13:29:09,6,93.49,105.82,-12.33
100,190,44,3,0.0,2023-07-07 08:17:46,5,262.95,109.11,153.84
101,70,62,4,0.06,2023-06-24 11:33:05,1,1321.11,1064.44,256.67
102,58,5,5,0.1,2021-03-18 00:31:48,4,1876.37,868.65,1007.72
