product_id,product_name,category_id,price,cost,category_name
1,Product 1,1,221.39,140.28,Category 1
2,Product 2,7,417.18,275.31,Category 7
3,Product 3,6,351.63,152.53,Category 6
4,Product 4,4,159.62,90.4,Category 4
5,Product 5,4,416.97,173.73,Category 4
6,Product 6,7,403.36,241.05,Category 7
7,Product 7,1,196.8,104.69,Category 1
8,Product 8,6,147.72,67.63,Category 6
9,Product 9,2,342.84,151.32,Category 2
10,Product 10,1,74.18,47.11,Category 1
11,Product 11,5,103.95,48.67,Category 5
12,Product 12,8,8.64,6.65,Category 8
13,Product 13,6,394.53,249.51,Category 6
14,Product 14,7,334.1,180.0,Category 7
15,Product 15,6,354.06,225.31,Category 6
16,Product 16,7,391.46,160.15,Category 7
17,Product 17,5,232.16,181.88,Category 5
18,Product 18,2,286.53,169.89,Category 2
19,Product 19,7,74.2,52.91,Category 7
20,Product 20,4,61.69,26.72,Category 4
21,Product 21,5,335.86,199.72,Category 5
22,Product 22,3,238.19,142.03,Category 3
23,Product 23,2,284.79,220.75,Category 2
24,Product 24,8,383.67,241.21,Category 8
25,Product 25,7,319.19,188.13,Category 7
26,Product 26,6,279.02,141.4,Category 6
27,Product 27,4,281.81,150.1,Category 4
28,Product 28,7,155.46,94.56,Category 7
29,Product 29,5,20.25,11.66,Category 5
30,Product 30,4,221.18,90.38,Category 4
31,Product 31,4,111.22,81.25,Category 4
32,Product 32,2,207.22,157.17,Category 2
33,Product 33,1,427.43,194.95,Category 1
34,Product 34,5,120.8,75.09,Category 5
35,Product 35,8,33.86,15.01,Category 8
36,Product 36,1,144.29,96.52,Category 1
37,Product 37,7,150.33,77.04,Category 7
38,Product 38,7,332.65,220.8,Category 7
39,Product 39,3,280.73,193.93,Category 3
40,Product 40,6,393.03,278.05,Category 6
41,Product 41,2,333.84,147.92,Category 2
42,Product 42,7,206.16,158.0,Category 7
43,Product 43,6,407.94,200.74,Category 6
44,Product 44,3,87.65,36.37,Category 3
45,Product 45,1,16.24,10.1,Category 1
46,Product 46,8,49.57,27.18,Category 8
47,Product 47,4,362.57,265.37,Category 4
48,Product 48,8,233.63,168.98,Category 8
49,Product 49,6,84.83,44.69,Category 6
50,Product 50,7,253.02,197.65,Category 7
51,Product 51,7,80.39,41.51,Category 7
52,Product 52,2,349.68,211.91,Category 2
53,Product 53,3,225.85,113.46,Category 3
54,Product 54,4,193.61,149.93,Category 4
55,Product 55,4,154.25,71.86,Category 4
56,Product 56,1,316.99,132.49,Category 1
57,Product 57,5,184.1,105.68,Category 5
58,Product 58,2,48.39,38.56,Category 2
59,Product 59,6,63.41,47.98,Category 6
60,Product 60,6,481.14,336.53,Category 6
61,Product 61,8,454.75,343.94,Category 8
62,Product 62,6,351.36,266.11,Category 6
63,Product 63,3,136.61,83.0,Category 3
64,Product 64,8,484.74,255.15,Category 8
65,Product 65,4,390.48,276.77,Category 4
66,Product 66,3,359.86,239.19,Category 3
67,Product 67,8,227.43,124.96,Category 8
68,Product 68,3,139.76,61.19,Category 3
69,Product 69,1,52.71,36.83,Category 1
70,Product 70,4,451.79,228.15,Category 4
71,Product 71,7,230.61,178.66,Category 7
72,Product 72,2,105.17,52.21,Category 2
73,Product 73,4,156.45,70.26,Category 4
74,Product 74,2,291.71,213.66,Category 2
75,Product 75,6,92.5,42.67,Category 6
76,Product 76,4,429.02,202.37,Category 4
77,Product 77,3,380.47,243.41,Category 3
78,Product 78,2,361.13,270.78,Category 2
79,Product 79,5,218.89,104.76,Category 5
80,Product 80,6,315.52,165.37,Category 6
